MUNICIPAL STATUS,CODE OF LOCALITY,LOCAL AUTHORITY - HEB,DISTRICT,INDEX POPULATION 2021[1],INDEX VALUE 2021[2],RANK 2021[3],CLUSTER 2021[4],RANK 2019[3],CLUSTER 2019[4],DIFFERENCE (CLUSTER 2021 MINUS CLUSTER 2019),NAME OF LOCAL AUTHORITY
0,1034,קריית מלאכי,6,"24,877",-0.671,72,3,79,4,-1,QIRYAT MAL'AKHI
99,516,מג'ד אל-כרום,2,"15,623",-0.668,73,3,61,3,0,MAJD AL-KURUM
99,529,אעבלין,2,"13,578",-0.666,74,3,68,3,0,I'BILLIN
99,473,אבו סנאן,2,"14,441",-0.655,75,3,62,3,0,ABU SINAN
99,4201,מג'דל שמס,2,"11,402",-0.651,76,3,57,3,0,MAJDAL SHAMS
99,637,ערערה,3,"25,805",-0.606,77,4,71,3,1,AR'ARA
99,831,ירוחם,6,"11,021",-0.582,78,4,87,4,0,YEROHAM
0,634,כפר קאסם,4,"24,727",-0.574,79,4,73,3,1,KAFAR QASEM
99,3574,בית אל,7,"5,680",-0.564,80,4,76,4,0,BET EL
0,6000,באקה אל-גרביה,3,"30,922",-0.560,81,4,75,4,0,BAQA AL-GHARBIYYE
0,2630,קריית גת,6,"60,279",-0.552,82,4,92,4,0,QIRYAT GAT
99,492,דייר חנא,2,"10,583",-0.534,83,4,78,4,0,DEIR HANNA
99,2034,חצור הגלילית,2,"9,759",-0.518,84,4,89,4,0,HAZOR HAGELILIT
99,490,דייר אל-אסד,2,"12,927",-0.517,85,4,80,4,0,DEIR AL-ASAD
0,7500,סח'נין,2,"32,715",-0.511,86,4,77,4,0,SAKHNIN
99,480,בית ג'ן,2,"12,303",-0.487,87,4,93,4,0,BEIT JANN
0,7600,עכו,2,"49,237",-0.467,88,4,94,4,0,AKKO
99,525,סאג'ור,2,"4,422",-0.449,89,4,83,4,0,SAJUR
99,1290,זמר,4,"7,351",-0.445,90,4,90,4,0,ZEMER
99,489,דבורייה,2,"10,770",-0.409,91,4,86,4,0,DABURIYYA
99,1295,יאנוח-ג'ת,2,"6,850",-0.405,92,4,95,5,-1,YANUH-JAT
99,517,מזרעה,2,"4,073",-0.405,93,4,88,4,0,MAZRA'A
99,633,כפר ברא,4,"3,852",-0.404,94,4,84,4,0,KAFAR BARA
0,8500,רמלה,4,"76,013",-0.399,95,4,98,5,-1,RAMLA
0,874,מגדל העמק,2,"25,912",-0.398,96,4,99,5,-1,MIGDAL HAEMEQ
0,9200,בית שאן,2,"18,819",-0.392,97,4,102,5,-1,BET SHE'AN
0,2200,דימונה,6,"35,649",-0.387,98,4,100,5,-1,DIMONA
